RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
75217,zip,TX,TX,Dallas,"Dallas-Fort Worth-Arlington, TX",Dallas County,202394.215233548
10453,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,610170.72107605
27587,zip,NC,NC,Wake Forest,"Raleigh-Cary, NC",Wake County,522726.560378371
73099,zip,OK,OK,Yukon,"Oklahoma City, OK",Canadian County,261983.4842160501
77379,zip,TX,TX,Spring,"Houston-The Woodlands-Sugar Land, TX",Harris County,364277.7588752048
96706,zip,HI,HI,Ewa Beach,"Urban Honolulu, HI",Honolulu County,860264.8081291384
11204,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1265631.1862925773
37042,zip,TN,TN,Clarksville,"Clarksville, TN-KY",Montgomery County,277674.46113293833
85142,zip,AZ,AZ,Queen Creek,"Phoenix-Mesa-Chandler, AZ",Maricopa County,583765.9232192413
30024,zip,GA,GA,Suwanee,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,616681.7918785325
10468,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,480309.2878487978
79928,zip,TX,TX,Horizon City,"El Paso, TX",El Paso County,250867.61837618673
95035,zip,CA,CA,Milpitas,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,1572348.6238307368
91744,zip,CA,CA,La Puente,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,732332.929727313
60608,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,360961.0000802265
11355,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,1049087.0391785472
92509,zip,CA,CA,Jurupa Valley,"Riverside-San Bernardino-Ontario, CA",Riverside County,627454.5281696549
78666,zip,TX,TX,San Marcos,"Austin-Round Rock-Georgetown, TX",Hays County,330282.9992783989
11203,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,704612.5519499405
93257,zip,CA,CA,Porterville,"Visalia, CA",Tulare County,315835.33510235493
93550,zip,CA,CA,Palmdale,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,462507.8179355807
60625,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,497035.8018585015
10457,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,548692.2368413162
66062,zip,KS,KS,Olathe,"Kansas City, MO-KS",Johnson County,398235.4576471162
92592,zip,CA,CA,Temecula,"Riverside-San Bernardino-Ontario, CA",Riverside County,771799.2663820172
60623,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,208135.58830697308
95630,zip,CA,CA,Folsom,"Sacramento-Roseville-Folsom, CA",Sacramento County,780169.327626308
10452,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,403662.2832303392
28269,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,363627.65202498325
92880,zip,CA,CA,Eastvale,"Riverside-San Bernardino-Ontario, CA",Riverside County,951153.3397350134
94544,zip,CA,CA,Hayward,"San Francisco-Oakland-Berkeley, CA",Alameda County,896019.174291477
90706,zip,CA,CA,Bellflower,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,798741.3183333362
78577,zip,TX,TX,Pharr,"McAllen-Edinburg-Mission, TX",Hidalgo County,165400.18601100318
