RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
99502,zip,AK,AK,Anchorage,"Anchorage, AK",Anchorage Borough,191430.1517154863
32548,zip,FL,FL,Fort Walton Beach,"Crestview-Fort Walton Beach-Destin, FL",Okaloosa County,471633.7893482728
98102,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,482664.5277063414
33184,zip,FL,FL,Tamiami,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,324820.85272581916
3833,zip,NH,NH,Exeter,"Boston-Cambridge-Newton, MA-NH",Rockingham County,465326.4386169506
1013,zip,MA,MA,Chicopee,"Springfield, MA",Hampden County,187197.2273733183
2852,zip,RI,RI,North Kingstown,"Providence-Warwick, RI-MA",Washington County,481074.8041199443
2467,zip,MA,MA,Brookline,"Boston-Cambridge-Newton, MA-NH",Norfolk County,765824.6485132864
19803,zip,DE,DE,Wilmington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County,543228.3467312548
32960,zip,FL,FL,Vero Beach,"Sebastian-Vero Beach, FL",Indian River County,167872.63996832762
33901,zip,FL,FL,Fort Myers,"Cape Coral-Fort Myers, FL",Lee County,184948.84849866547
7203,zip,NJ,NJ,Roselle,"New York-Newark-Jersey City, NY-NJ-PA",Union County,220485.83536608957
45440,zip,OH,OH,Kettering,"Dayton-Kettering, OH",Greene County,156567.7221421914
54913,zip,WI,WI,Appleton,"Appleton, WI",Outagamie County,356811.4361894159
94519,zip,CA,CA,Concord,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,444883.7352720403
90717,zip,CA,CA,Lomita,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,598232.5170252955
60642,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,452460.35581395245
23805,zip,VA,VA,Petersburg,"Richmond, VA",Petersburg City,256840.41510910573
2809,zip,RI,RI,Bristol,"Providence-Warwick, RI-MA",Bristol County,559076.8081669494
32129,zip,FL,FL,Port Orange,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County,126952.32296011284
8057,zip,NJ,NJ,Moorestown Township,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,383445.1954097836
95818,zip,CA,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,450836.3739653079
43160,zip,OH,OH,Washington Court House,"Washington Court House, OH",Fayette County,262486.62772281317
66208,zip,KS,KS,Prairie Village,"Kansas City, MO-KS",Johnson County,239620.20153287696
98166,zip,WA,WA,Burien,"Seattle-Tacoma-Bellevue, WA",King County,360078.2524605626
45331,zip,OH,OH,Greenville,"Greenville, OH",Darke County,162657.42937628395
2863,zip,RI,RI,Central Falls,"Providence-Warwick, RI-MA",Providence County,290624.70199626236
32601,zip,FL,FL,Gainesville,"Gainesville, FL",Alachua County,211913.87634354868
95391,zip,CA,CA,Tracy,"Stockton, CA",San Joaquin County,596037.991892829
77054,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,131557.9326837937
95827,zip,CA,CA,Rancho Cordova,"Sacramento-Roseville-Folsom, CA",Sacramento County,315645.2089404959
20716,zip,MD,MD,Bowie,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince Georges County,300725.4597249048
94597,zip,CA,CA,Walnut Creek,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,571490.7113711628
89166,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,232314.7262176491
18020,zip,PA,PA,Bethlehem,"Allentown-Bethlehem-Easton, PA-NJ",Northampton County,277082.5346826324
11426,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,322876.0906903387
29201,zip,SC,SC,Columbia,"Columbia, SC",Richland County,223519.7113941099
28209,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,344549.68079437554
52317,zip,IA,IA,North Liberty,"Iowa City, IA",Johnson County,174554.37147887307
28570,zip,NC,NC,Newport,"Morehead City, NC",Carteret County,225925.8652130634
32119,zip,FL,FL,South Daytona,"Deltona-Daytona Beach-Ormond Beach, FL",Volusia County,152292.53229460862
32609,zip,FL,FL,Gainesville,"Gainesville, FL",Alachua County,175602.6885787123
49445,zip,MI,MI,,"Muskegon, MI",Muskegon County,312352.241128716
60140,zip,IL,IL,Hampshire,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,258336.47826070583
44116,zip,OH,OH,Rocky River,"Cleveland-Elyria, OH",Cuyahoga County,146248.9219815553
44484,zip,OH,OH,Warren,"Youngstown-Warren-Boardman, OH-PA",Trumbull County,218856.7235696189
60450,zip,IL,IL,Morris,"Chicago-Naperville-Elgin, IL-IN-WI",Grundy County,207858.1034862495
33131,zip,FL,FL,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,611366.8822355424
33440,zip,FL,FL,Clewiston,"Clewiston, FL",Hendry County,178142.78481022044
